stage,backend,path,n,min_us,mean_us,median_us,max_us,stddev_us
otp25-baseline,mat,uwb_1x6,20000,236,307.561,252.000,11634,409.066
otp25-baseline,mat,nav_2x6,20000,245,318.694,262.000,5539,389.285
otp25-baseline,oldmat,uwb_1x6,20000,2242,2556.048,2312.000,10874,797.268
otp25-baseline,oldmat,nav_2x6,20000,2656,3032.184,2738.000,7074,858.074
