stage,backend,path,n,min_us,mean_us,median_us,max_us,stddev_us
otp28-grisp2.14.1-toolchain1.0.0,mat,uwb_1x6,20000,236,307.561,252.000,11634,409.066
otp28-grisp2.14.1-toolchain1.0.0,mat,nav_2x6,20000,245,318.694,262.000,5539,389.285
otp28-grisp2.14.1-toolchain1.0.0,oldmat,uwb_1x6,20000,2242,2556.048,2312.000,10874,797.268
otp28-grisp2.14.1-toolchain1.0.0,oldmat,nav_2x6,20000,2656,3032.184,2738.000,7074,858.074
