stage,backend,path,n,min_us,mean_us,median_us,max_us,stddev_us
otp25-baseline,mat,uwb_1x6,1000,37,41.755,38.000,243,15.776
otp25-baseline,mat,nav_2x6,1000,37,41.259,38.000,208,13.023
otp25-baseline,oldmat,uwb_1x6,1000,2039,2187.771,2136.000,2959,113.487
otp25-baseline,oldmat,nav_2x6,1000,2457,2632.159,2648.000,3370,113.184
